0,373.237,1082.68,553.474,237.857,727.652,658.673,981.253,392.46,150.602
373.237,0,1031.95,750.648,415.55,670.642,771.082,913.974,631.817,222.991
1082.68,1031.95,0,699.217,849.682,367.044,517.72,120.308,815.665,1038.76
553.474,750.648,699.217,0,350.036,471.135,181.541,642.247,165.324,606.637
237.857,415.55,849.682,350.036,0,503.751,426.439,752.475,216.391,257.171
727.652,670.642,367.044,471.135,503.751,0,322.188,256.096,528.564,673.243
658.673,771.082,517.72,181.541,426.439,322.188,0,463.159,313.249,674.265
981.253,913.974,120.308,642.247,752.475,256.096,463.159,0,741.243,929.2
392.46,631.817,815.665,165.324,216.391,528.564,313.249,741.243,0,462.069
150.602,222.991,1038.76,606.637,257.171,673.243,674.265,929.2,462.069,0
